CustomerID,Age,Gender,Country,Income,ProductQuality,ServiceQuality,PurchaseFrequency,FeedbackScore,LoyaltyLevel,SatisfactionScore
1,56,Male,Trainer2,83094,5,8,5,Low,Bronze,100
2,69,Male,Trainer2,86860,10,2,8,Medium,Gold,100
3,46,Female,Trainer1,60173,8,10,18,Medium,Silver,100
4,32,Female,Trainer2,73884,7,10,16,Low,Gold,100
5,60,Male,Trainer2,97546,6,4,13,Low,Bronze,82
6,25,Male,Trainer5,49364,5,7,19,High,Silver,80.71
7,38,Female,Trainer3,39716,10,6,11,High,Silver,100
8,56,Female,Trainer3,45305,10,10,10,Medium,Gold,100
9,36,Male,Trainer5,98001,10,2,12,High,Bronze,100
10,40,Female,Trainer2,85307,6,4,20,High,Gold,86.48
11,28,Female,Trainer4,46732,9,3,3,High,Gold,94.6
12,28,Female,Trainer5,38742,8,6,13,Medium,Silver,81.85
13,41,Male,Trainer3,30028,8,6,20,Medium,Bronze,95.99
14,53,Female,Trainer6,58353,6,8,17,Medium,Bronze,100
15,57,Female,Trainer3,75657,1,8,15,Medium,Silver,100
16,41,Female,Trainer4,59164,1,5,10,Medium,Silver,52.34
17,20,Female,Trainer3,73887,5,4,7,Medium,Silver,73.48
18,39,Female,Trainer5,63522,8,3,8,High,Gold,86.31
19,19,Male,Trainer6,88593,5,9,8,High,Bronze,100
20,41,Female,Trainer3,37901,7,5,17,Low,Gold,85.16
21,61,Female,Trainer5,41595,2,4,11,High,Gold,69.85
22,47,Female,Trainer5,95043,7,2,5,High,Bronze,92.23
23,55,Female,Trainer5,42216,5,6,2,Medium,Gold,90.59
24,19,Male,Trainer6,59536,10,5,7,High,Silver,99.65
25,38,Male,Trainer5,48184,3,2,2,Low,Gold,49.73
26,50,Male,Trainer6,116529,1,5,18,Medium,Silver,70.82
27,29,Female,Trainer4,92619,9,8,15,Low,Gold,100
28,39,Female,Trainer4,102225,10,4,14,Low,Gold,100
29,61,Male,Trainer4,108541,7,1,1,Medium,Silver,75.74
30,42,Male,Trainer5,48768,8,8,16,High,Gold,100
31,66,Male,Trainer6,95975,10,7,7,Medium,Bronze,100
32,44,Male,Trainer4,41604,10,9,11,Medium,Bronze,100
33,59,Male,Trainer7,100739,4,8,18,Medium,Bronze,100
34,45,Male,Trainer4,119278,3,7,10,High,Gold,100
35,33,Female,Trainer5,112220,5,7,17,Low,Silver,100
36,32,Female,Trainer7,113282,1,10,4,High,Bronze,100
37,64,Male,Trainer3,65286,6,1,7,Low,Silver,88.16
38,68,Female,Trainer7,40530,1,6,17,High,Bronze,63.97
39,61,Female,Trainer3,34580,8,9,9,High,Bronze,100
